VARIABLE,DEFAULT_VALUE,CUSTOM_VALUE
shoppingList.quickAdd.skuNotAddable,SKU {notAddAble} cannot be added quickly,Lo SKU {notAddAble} non può essere aggiunto rapidamente
shoppingList.quickAdd.skuLimitQuantity,"SKU {numberLimit} add quantity is limited from 1 to 1,000,000",La quantità aggiunta allo SKU {numberLimit} è limitata da 1 a 1.000.000
shoppingList.quickAdd.quickAdd,Quick add,Aggiunta rapida
shoppingList.quickAdd.showMoreRows,Show more rows,Mostra più righe
shoppingList.chooseOptionsDialog.productNoLongerForSale,This product is no longer for sale,Questo prodotto non è più in vendita
shoppingList.chooseOptionsDialog.saveOption,Save Option,Salva opzione
shoppingList.chooseOptionsDialog.chooseOptions,Choose options,Scegli le opzioni
shoppingList.chooseOptionsDialog.addToList,Add To List,Aggiungi alla lista
shoppingList.chooseOptionsDialog.price,Price:,Prezzo:
shoppingList.chooseOptionsDialog.quantity,Qty,Qtà
shoppingList.reAddToCart.fillCorrectQuantity,Please fill in the correct quantity,Si prega di inserire la quantità corretta
shoppingList.reAddToCart.productsAdded,Products were added to cart,I prodotti sono stati aggiunti al carrello
shoppingList.reAddToCart.proceedToCheckout,Proceed to checkout,Procedere al checkout
shoppingList.reAddToCart.addToCart,Add to cart,Aggiungi al carrello
shoppingList.reAddToCart.productsCanCheckout,{successProducts} product(s) can checkout,I prodotti {successProducts} possono essere acquistati
shoppingList.reAddToCart.productsAddedToCart,{successProducts} product(s) were added to cart,{successProducts} prodotto/i sono stati aggiunti al carrello
shoppingList.reAddToCart.productsCantCheckout,"{quantity} product(s) can\n't checkout, please change the quantity","Impossibile effettuare il pagamento per {quantity} prodotto/i, modifica la quantità"
shoppingList.reAddToCart.productsNotAddedToCart,"{quantity} product(s) were not added to cart, please change the quantity","{quantity} prodotti non sono stati aggiunti al carrello, modifica la quantità"
shoppingList.reAddToCart.productCount,{quantity} products,{quantity} prodotti
shoppingList.reAddToCart.adjustQuantity,Adjust quantity,Regola la quantità
shoppingList.reAddToCart.product,Product,Prodotto
shoppingList.reAddToCart.quantity,Qty,Qtà
shoppingList.reAddToCart.total,Total,Totale
shoppingList.reAddToCart.price,Price,Prezzo
shoppingList.deleteItems.subtotal,Delete product,Elimina prodotto
shoppingList.deleteItems.cancel,cancel,annulla
shoppingList.deleteItems.delete,delete,eliminare
shoppingList.deleteItems.confirmDelete,Are you sure you want to delete this product?,Sei sicuro di voler eliminare questo prodotto?
shoppingList.footer.unavailableProducts,"Sku(s): {skus} unavailable for purchasing, please uncheck.","Sku(s): {skus} non disponibile per l'acquisto, deseleziona."
shoppingList.footer.productsAddedToCart,Products were added to cart,I prodotti sono stati aggiunti al carrello
shoppingList.footer.viewCart,VIEW CART,VISUALIZZA CARRELLO
shoppingList.footer.selectedProducts,{quantity} products selected,{quantity} prodotti selezionati
shoppingList.footer.subtotal,Subtotal: {subtotal},Totale parziale: {subtotal}
shoppingList.footer.proceedToCheckout,Proceed to checkout,Procedere al checkout
shoppingList.footer.addSelectedTo,Add selected to,Aggiungi selezionato a
shoppingList.footer.selectOneItem,Please select at least one item,Seleziona almeno un elemento
shoppingList.footer.addToQuote,Add selected to quote,Aggiungi selezionato al preventivo
shoppingList.footer.addToCart,Add selected to cart,Aggiungi selezionato al carrello
shoppingList.footer.cantAddProductsNoSku,Can not add products without SKU.,Impossibile aggiungere prodotti senza SKU.
shoppingList.footer.notFoundSku,{sku} not found,{sku} non trovato
shoppingList.footer.productsAddedToQuote,Products were added to your quote,I prodotti sono stati aggiunti al tuo preventivo
shoppingList.footer.productsLimit,The quantity of each product in Quote is 1-1000000.,La quantità di ciascun prodotto in preventivo è 1-1.000.000.
shoppingList.footer.viewQuote,VIEW QUOTE,VISUALIZZA PREVENTIVO
shoppingList.header.backToShoppingLists,Back to shopping lists,Torniamo alle liste della spesa
shoppingList.header.backToProduct,Back to product,Torna al prodotto
shoppingList.header.createdBy,Created by:,Creato da:
shoppingList.header.submitForApproval,Submit for Approval,Invia per l'approvazione
shoppingList.header.reject,Reject,Rifiutare
shoppingList.header.approve,Approve,Approvare
shoppingList.table.productUpdated,Product updated successfully,Prodotto aggiornato con successo
shoppingList.table.quantityUpdated,Product quantity updated successfully,Quantità del prodotto aggiornata correttamente
shoppingList.table.productNotesUpdated,Product notes updated successfully,Note sul prodotto aggiornate con successo
shoppingList.table.product,Product,Prodotto
shoppingList.table.price,Price,Prezzo
shoppingList.table.quantity,Qty,Qtà
shoppingList.table.total,Total,Totale
shoppingList.table.totalProductCount,{quantity} products,{quantity} prodotti
shoppingList.table.itemsPerPage,Items per page,Articoli per pagina
shoppingList.table.noProductsFound,No products found,Nessun prodotto trovato
shoppingList.shoppingDetailCard.price,Price: {price},Prezzo: {price}
shoppingList.shoppingDetailCard.quantity,qty,quantità
shoppingList.shoppingDetailCard.total,Total: {total},Totale: {total}
shoppingList.addItemNotes.title,Add note,Aggiungi nota
shoppingList.addItemNotes.cancel,cancel,annulla
shoppingList.addItemNotes.save,save,salva
shoppingList.addItemNotes.placeholder,Add notes to products,Aggiungi note ai prodotti

userManagement.addUser,Add new user,Aggiungi nuovo utente
userManagement.deleteUserSuccessfully,User deleted successfully,Utente eliminato con successo
userManagement.deleteUser,Delete user,Elimina utente
userManagement.cancel,cancel,annulla
userManagement.delete,delete,eliminare
userManagement.confirmDelete,Are you sure you want to delete this user?,Sei sicuro di voler eliminare questo utente?
userManagement.addUserSuccessfully,User added successfully,Utente aggiunto correttamente
userManagement.userDetected,"User detected in your company, we will allow current storefront access for email: {email}","Utente rilevato nella tua azienda, consentiremo l'accesso corrente al negozio per l'email: {email}"
userManagement.updateUserSuccessfully,update user successfully,aggiornare l'utente con successo
userManagement.editUser,Edit user,Modifica utente
userManagement.addNewUser,Add new user,Aggiungi nuovo utente
userManagement.saveUser,Save user,Salva utente
userManagement.config.email,Email,E-mail
userManagement.config.firstName,First name,Nome di battesimo
userManagement.config.lastName,Last name,Cognome
userManagement.config.phoneNumber,Phone number,Numero di telefono
userManagement.config.userRole,User role,Ruolo utente
userManagement.userRole.admin,Admin,Ammin
userManagement.userRole.seniorBuyer,Senior buyer,Acquirente senior
userManagement.userRole.juniorBuyer,Junior buyer,Acquirente junior

quoteDraft.addQuoteInfo,Please add quote info before submitting,Si prega di aggiungere informazioni sul preventivo prima di inviarlo
quoteDraft.submit,Please add quote products before submitting,Si prega di aggiungere i prodotti del preventivo prima di inviarli
quoteDraft.submit.errorTip,There are some products in the quote that are out of stock or unavailable for purchase. Please remove the product or modify the quantity of the product.,Alcuni prodotti nel preventivo sono esauriti o non disponibili per l'acquisto. 
quoteDraft.button.backToQuoteLists,Back to quote lists,Torna agli elenchi dei preventivi
quoteDraft.button.back,Back,Indietro
quoteDraft.button.backToProduct,Back to product,Torna al prodotto
quoteDraft.title.Quote,Quote,Preventivo
quoteDraft.button.submit,Submit,Invia
quoteDraft.section.billing,Billing,Fatturazione
quoteDraft.section.shipping,Shipping,Spedizione
quoteDraft.button.saveInfo,Save info,Salva informazioni
quoteDraft.checkbox.sameAddressShippingAndBilling,My shipping address is the same as my billing address,Il mio indirizzo di spedizione è lo stesso del mio indirizzo di fatturazione
quoteDraft.notification.cantAddProductsNoSku,Can not add products without SKU.,Impossibile aggiungere prodotti senza SKU.
quoteDraft.notification.productSingular,Product was added to your quote.,Il prodotto è stato aggiunto al tuo preventivo.
quoteDraft.notification.productPlural,Products were added to your quote.,I prodotti sono stati aggiunti al tuo preventivo.
quoteDraft.notification.errorRangeProducts,The quantity of each product in Quote is 1-1000000.,La quantità di ciascun prodotto in preventivo è 1-1.000.000.
quoteDraft.notification.businessAccountPendingActivation,Your business account is pending approval. This feature is currently disabled.,Il tuo account aziendale è in attesa di approvazione. 
quoteDraft.notification.openQuote,Open quote,Apri preventivo
quoteDraft.collapseTitle.addToQuote,Add to quote,Aggiungi al preventivo
quoteDraft.modalTitle.addToQuote,Add to quote,Aggiungi al preventivo
quoteDraft.button.addProductsToAddToQuote,Add products to Quote,Aggiungi prodotti al preventivo
quoteDraft.button.bulkUploadCSV,Bulk upload CSV,Caricamento collettivo CSV
quoteDraft.contactInfo.contactPerson,Contact person,Referente
quoteDraft.contactInfo.email,Email,E-mail
quoteDraft.contactInfo.companyName,Company name,Nome dell'azienda
quoteDraft.contactInfo.phone,Phone,Telefono
quoteDraft.contactInfo.quoteTitle,Quote Title,Titolo della preventivo
quoteDraft.quoteInfo.quoteTitle,Quote Title,Titolo della preventivo:
quoteDraft.contactInfo.emailExists,Email already exists,L'e-mail esiste già
quoteDraft.contactInfo.contact,Buyer info,Informazioni sull'acquirente
quoteDraft.quoteInfo.title,Quote info,Informazioni sul preventivo
quoteDraft.contactInfo.referenceNumber,Reference number,Numero di riferimento
quoteDraft.quoteInfo.titleText,Title:,Titolo:
quoteDraft.quoteInfo.referenceText,Reference:,Riferimento:
quoteDraft.quoteInfo.ccEmailText,CC:,
quoteDraft.contactInfo.ccEmail,CC email,E-mail in CC
quoteDraft.quoteAddress.chooseFromSaved,Choose from saved,Scegli tra salvato
quoteDraft.chooseAddress.chooseFromSaved,Choose from saved,Scegli tra salvato
quoteDraft.chooseAddress.searchAddress,Search address,Cerca indirizzo
quoteDraft.addressItemCard.defaultShipping,Default shipping,Spedizione predefinita
quoteDraft.addressItemCard.defaultBilling,Default billing,Fatturazione predefinita
quoteDraft.addressItemCard.chooseAddress,Choose address,Scegli l'indirizzo
quoteDraft.quoteSummary.summary,Quote summary,Riepilogo preventivo
quoteDraft.quoteSummary.subTotal,Sub total,Sub totale
quoteDraft.quoteSummary.shipping,Shipping,Spedizione
quoteDraft.quoteSummary.tax,Estimated Tax,Imposta stimata
quoteDraft.quoteSummary.grandTotal,Grand total,totale
quoteDraft.quoteSummary.tbd,TBD,Da definire
quoteDraft.quoteTable.productUpdated,Product was updated in your quote.,Il prodotto è stato aggiornato nel tuo preventivo.
quoteDraft.quoteTable.product,Product,Prodotto
quoteDraft.quoteTable.price,Price,Prezzo
quoteDraft.quoteTable.qty,Qty,Qtà
quoteDraft.quoteTable.total,Total,Totale
quoteDraft.quoteTable.perPage,Per page:,Per pagina:
quoteDraft.quoteTable.noProducts,No products found,Nessun prodotto trovato
quoteDraft.quoteTable.totalProducts,{total} products,{total} prodotti
quoteDraft.config.addressLabel,Address label,Etichetta dell'indirizzo
quoteDraft.config.firstName,First name,Nome di battesimo
quoteDraft.config.lastName,Last name,Cognome
quoteDraft.config.company,Company,Azienda
quoteDraft.config.country,Country,Paese
quoteDraft.config.addressLine1,Address line 1,Indirizzo Linea 1
quoteDraft.config.addressLine2,Address line 2 (optional),Riga indirizzo 2 (facoltativa)
quoteDraft.config.city,City,Città
quoteDraft.config.state,State,Stato
quoteDraft.config.zipCode,Zip code,Cap
quoteDraft.config.phoneNumber,Phone number,Numero di telefono
quoteDraft.searchProduct.addToQuoteButton,Add to quote,Aggiungi al preventivo
quoteDraft.submission.response.button.text,OK,
quoteDraft.quoteTable.outOfStock.tip,Insufficient stock,Scorte insufficienti
quoteDraft.quoteTable.oosNumber.tip,In stock: {qty},Disponibile: {qty}
quoteDraft.quoteTable.unavailable.tip,Not available for purchase,Non disponibile per l'acquisto
quoteDraft.productPageToQuote.outOfStock,{name} Out of stock. In stock: {qty},{name} Esaurito. 
quoteDraft.productPageToQuote.unavailable,Not available for purchase,Non disponibile per l'acquisto

accountSettings.notification.detailsUpdated,Your account details have been updated.,I dettagli del tuo account sono stati aggiornati.
accountSettings.notification.emailExists,Email already exists,L'e-mail esiste già
accountSettings.notification.updateEmailPassword,Please type in your current password to update your email address.,Inserisci la tua password attuale per aggiornare il tuo indirizzo email.
accountSettings.notification.noEdits,You haven't made any edits,Non hai apportato alcuna modifica
accountSettings.notification.passwordNotMatch,The current password does not match,La password attuale non corrisponde
accountSettings.button.saveUpdates,Save updates,Salva aggiornamenti
accountSettings.form.company,Company,Azienda
accountSettings.form.role,Role,Ruolo
accountSettings.form.admin,Admin,Ammin
accountSettings.form.seniorBuyer,Senior buyer,Acquirente senior
accountSettings.form.juniorBuyer,Junior buyer,Acquirente junior
accountSettings.form.superAdmin,Super admin,Super amministratore
accountSettings.form.currentPassword,Current password,Password attuale
accountSettings.form.password,Password,
accountSettings.form.confirmPassword,Confirm password,Conferma password
accountSettings.form.firstName,First name,Nome di battesimo
accountSettings.form.lastName,Last name,Cognome
accountSettings.form.email,Email,E-mail
accountSettings.form.phoneNumber,Phone number,Numero di telefono

quoteDetail.uploadedByCustomer,Uploaded by customer: {createdBy},Caricato dal cliente: {createdBy}
quoteDetail.uploadedBySalesRep,Uploaded by sales rep: {createdBy},Caricato dal rappresentante di vendita: {createdBy}
quoteDetail.submittedQuote,Your quote was submitted. You can always find the quote using this link.,Il tuo preventivo è stato inviato. 
quoteDetail.quoteSubmitted,Your quote was submitted,Il tuo preventivo è stato inviato
quoteDetail.copySuccessful,copy successfully,copiato con successo
quoteDetail.copyQuoteLink,Copy quote link,Copia il link del preventivo
quoteDetail.reviewAllQuotes,Review all quotes,Rivedi tutte i preventivi
quoteDetail.message.message,Message,Messaggio
quoteDetail.message.merchantAnswers,Merchant typically answers within 1 day,Il commerciante in genere risponde entro 1 giorno
quoteDetail.message.typeMessage,Type a message...,Digita un messaggio...
quoteDetail.message.insufficientStock,{ProductName} does not have sufficient stock. Please contact your Sales Rep to have it re-issued.,{ProductName} non ha scorte sufficienti. 
quoteDetail.message.nonPurchasable,{ProductName} is not purchasable. Please contact your Sales Rep to have it re-issued.,{ProductName} non è acquistabile. 
quoteDetail.message.sent,Sent,Inviato
quoteDetail.footer.proceedToCheckout,Proceed to checkout,Procedere al checkout
quoteDetail.header.backToQuoteLists,Back to quote lists,Torna agli elenchi dei preventivi
quoteDetail.header.quoteNumber,Quote #{quoteNumber},Preventivo #{quoteNumber}
quoteDetail.header.title,Title:,Titolo:
quoteDetail.header.salesRep,Sales rep:,Rappresentante di vendita:
quoteDetail.header.issuedOn,Issued on:,Emesso il:
quoteDetail.header.expirationDate,Expiration date:,Data di scadenza:
quoteDetail.header.print,Print,Stampa
quoteDetail.header.downloadPDF,DownLoad pdf,Scarica il pdf
quoteDetail.summary.quoteSummary,Quote summary,Riepilogo preventivo
quoteDetail.summary.originalSubtotal,Original subtotal,Totale parziale originale
quoteDetail.summary.discountAmount,Discount amount,Importo dello sconto
quoteDetail.summary.quotedSubtotal,Quoted subtotal,Totale parziale citato
quoteDetail.summary.shipping,Shipping,Spedizione
quoteDetail.summary.tax,Tax,Tassare
quoteDetail.summary.grandTotal,Grand total,totale
quoteDetail.summary.quoteCheckout,Customer choice at checkout,Scelta del cliente al momento del pagamento
quoteDetail.summary.tbd,TBD,Da definire
quoteDetail.summary.estimatedTax,Estimated Tax,Imposta stimata
quoteDetail.table.product,Product,Prodotto
quoteDetail.table.price,Price,Prezzo
quoteDetail.table.qty,Qty,Quantità
quoteDetail.table.total,Total,Totale
quoteDetail.table.perPage,Per page:,Per pagina:
quoteDetail.table.noProducts,No products found,Nessun prodotto trovato
quoteDetail.table.totalProducts,{total} products,{total} prodotti
quoteDetail.tableCard.price,Price:,Prezzo:
quoteDetail.tableCard.total,Total:,Totale:
quoteDetail.tableCard.qty,Qty: {quantity},Qtà: {quantity}
quoteDetail.termsAndConditions,Terms and conditions,Termini e Condizioni

register.title.registerComplete,Application submitted,Domanda presentata
register.title.accountCreated,Registration complete!,Registrazione completata!
register.title.accountRegister,Account registration,Registrazione dell'account
register.step.optional,Optional,Opzionale
register.step.account,Account,
register.step.details,Details,Dettagli
register.step.finish,Finish,Fine
register.registeredAccount.accountType,Account type,Tipo di conto
register.registeredAccount.businessAccount,Business account,Conto aziendale
register.registeredAccount.personalAccount,Personal account,Conto personale
register.label.companyAttachments,Company attachments,Allegati aziendali
register.emailValidate.alreadyExitsBC,The email address {email} is already in use. Please enter a different one.,L'indirizzo email {email} è già in uso. 
register.registeredSingleCheckBox.label,Email me special promotions and updates,Inviami promozioni speciali e aggiornamenti via e-mail
login.button.signIn,Sign In,Registrazione
login.button.signInUppercase,SIGN IN,REGISTRAZIONE
login.button.createAccount,CREATE ACCOUNT,CREARE UN ACCOUNT
login.loginTipInfo.resetPassword,You must reset your password before you may log in again. Please check your email at {email} to reset your password,È necessario reimpostare la password prima di poter accedere nuovamente. 
login.loginTipInfo.receivePassword,"If the entered email address is associated with this store, you will receive a password reset email. If you don't receive this e-mail, please check your junk mail folder or contact us for further assistance.","Se l'indirizzo e-mail inserito è associato a questo negozio, riceverai un'e-mail di reimpostazione della password. "
login.loginTipInfo.loggedOutLogin,You've been logged out of your account successfully.,Sei stato disconnesso dal tuo account con successo.
login.loginText.forgotPasswordText,Forgot your password?,Hai dimenticato la password?
login.loginText.invoiceErrorTip,Please log in to view your invoice,Effettua il login per visualizzare la fattura
login.loginText.deviceCrowdingLogIn,"The user has logged out, please log in again","L'utente si è disconnesso, effettua nuovamente l'accesso"
login.loginText.password,Password,
login.loginText.signInHeader,Sign in,Registrazione
login.registerLogo,register Logo,registrare il logo
login.loginText.quoteDetailToCheckoutUrl,Please log in to purchase this quote,Questa preventivo è di sola visualizzazione. 
login.loginText.missingCaptcha,The captcha you entered is incorrect. Please try again.,Il captcha che hai inserito non è corretto. 

pdp.notification.productsAdded,Products were added to your shopping list,I prodotti sono stati aggiunti alla tua lista della spesa
pdp.notification.viewShoppingList,view shopping list,visualizzare la lista della spesa
pdp.addToShoppingList,Add to shopping list,Aggiungi alla lista della spesa

forgotPassword.resetPassword,Reset password,Reimposta la password
forgotPassword.requestEmail,Fill in your email below to request a new password. An email will be sent to the address below containing a link to verify your email address.,Inserisci la tua email qui sotto per richiedere una nuova password. 
forgotPassword.resetPasswordBtn,Reset Password,Reimposta password

registeredbctob2b.title,Business Account Application,Richiesta di conto aziendale

payment.errorInvoiceCantBeBlank,The invoice cannot be blank,La fattura non può essere vuota
payment.errorOpenBalanceIsIncorrect,The invoice openBalance code or value is incorrect,Il codice o il valore della fattura openBalance non è corretto
payment.clickToLandingPage,Click ok to go to the landing page,Fare clic su OK per andare alla pagina di destinazione
payment.paymentSuccess,Thank you for your payment,Grazie per il pagamento
payment.paymentNumber,Payment#,Pagamento#
payment.paymentReceivedOn,Payment received on,Pagamento ricevuto il
payment.transactionType,Transaction type,Tipo di transazione
payment.paymentType,Payment type,Tipo di pagamento
payment.paymentTotal,Payment total,Totale pagamento
payment.reference,Reference,Riferimento
payment.paymentComment,Payment comment,Commento sul pagamento
payment.invoicesPaid,Invoices paid,Fatture pagate
payment.paymentTowardsInvoices,You made payments towards the invoices shown below,Hai effettuato pagamenti per le fatture indicate di seguito
payment.invoiceNumber,Invoice#,Fattura#
payment.amountPaid,Amount paid,Importo pagato
payment.okButton,Ok,OK
